FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
-0.6037003,-0.016820872,-0.093619384,0.14608218,0.68307996,-0.08711284,-0.07560319,0.081374206,0.08443805,-0.24645129,-0.1062623,1.2937933
-0.6153649,0.061195787,-0.039953504,0.39828637,-0.19548614,-0.071120396,0.16047515,0.092103384,0.14797185,-0.18521345,-0.27862763,-0.76861095
-0.16461405,0.0065981857,0.09156652,0.36573344,-0.199996,-0.038060438,0.041665692,-0.28926834,0.23108499,-0.19332416,-0.2944803,-1.1533891
0.17683157,0.36589265,-0.041335043,0.53882116,1.0285655,-0.03996307,0.12807925,0.733941,0.10426147,-0.2081694,0.046666816,-0.5683739
-0.046186388,-0.08906046,0.1703991,0.2190625,0.70315963,-0.11595561,-0.16888693,0.045427002,-0.06691778,-0.24116176,-0.34670278,1.0367519
-0.45480728,-0.017585583,0.34491247,0.43215075,-0.40373358,0.1312721,0.17717008,0.17422672,0.1673482,-0.21149752,0.75135505,-0.26898095
-0.12838182,-0.061838213,-0.2527937,-0.30545112,0.40269184,-0.12288808,0.16266769,-0.77121824,-0.69663423,-0.23659745,-0.12405103,-0.9930216
-0.087492086,0.14113984,0.14872096,0.12375321,-0.8079239,0.07446384,-0.08075644,-0.22602862,0.020114198,-0.2790777,-0.23395008,1.2941605
0.039184354,0.014102098,-0.032296374,0.24732718,-0.50779015,0.04524401,0.096328095,0.088858925,-0.1891991,-0.2972904,0.05406998,0.76787716
-0.06790047,0.1766575,0.087260425,0.33344716,-0.40425253,-0.10401546,-0.14103898,0.08623108,-0.2565984,-0.17986116,-0.3225457,-1.0135151
-0.33866417,-0.010286852,0.18061021,0.29543963,-1.0718364,0.11656632,0.13144669,0.09786949,0.15921576,-0.26039016,-0.204734,-0.2760343
-0.06839802,-0.11472178,0.38507792,-0.8833144,1.2487106,0.05254679,-0.22735958,0.05883925,0.032286454,-0.27841836,-0.603371,0.7900031
-0.07254558,0.021789523,0.23285617,0.23817733,0.6887164,0.1505567,-0.081813,0.16991208,0.05603647,-0.20268993,-0.16811016,-1.6125071
-0.059563473,0.14561388,0.08525717,0.2369756,-0.5536691,-0.08839347,-0.02909137,0.08245017,0.083233275,-0.2521466,-0.23133962,0.87160707
-0.54900426,0.090186626,-0.07661856,0.3607183,-0.32459483,0.09458061,0.18112206,0.090724364,-0.19371958,-0.19797634,-0.06473123,-0.33938512
-0.47987148,-0.07267324,-0.09642035,0.15052757,-1.0033648,-0.05932635,0.08023941,-0.20881322,0.104131855,-0.204762,-0.14130673,-0.44177175
0.034526013,0.39273778,0.009289906,0.017845435,0.7044125,-0.106840946,0.14935237,-0.21789204,0.2183824,-0.24147858,-0.20699774,0.9850443
-0.045127034,-0.17089167,-0.49755985,0.09765722,-0.7141691,-0.15634508,0.117091656,0.025636133,-0.07505258,-0.2518275,-0.18596254,0.72325104
-0.4541901,-0.15591608,-0.58117217,0.32935262,-0.45114127,-0.07620651,-0.02768819,-0.38803676,0.03616777,-0.23357303,-0.07193268,-1.0215522
0.10650018,0.1306527,0.20529367,-0.52711344,0.8856817,0.17667314,0.11698536,0.080938295,0.23614024,-0.16385898,-0.1983693,-0.7467646
-0.09983953,-0.04570628,0.08268005,0.25156802,-0.37336922,-0.09643847,-0.096218765,-0.21904346,0.19563016,-0.16964273,-0.16548505,-0.37715968
0.11353167,0.14155902,0.026446637,0.18994677,-0.6342969,-0.090803154,-0.06092136,0.23501952,-0.025192477,-0.18447009,-0.12806703,1.0061758
-0.05089275,-0.06273982,0.11152807,-0.69625765,-0.5672994,0.30227956,-0.10507035,0.047145262,0.18682083,-0.30256402,-0.14249025,1.0651407
